
Statistical table extracted on October 16, 2022 (17:33:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Livestock (No.) of agricultural holdings by Geographic localization (NUTS -2013) and Animal specie -  Decennial (1) ;;;;;;;;
;Data reference period;;;;;;;;
;1999;;;;;;;;
;Animal specie;;;;;;;;
;Cattle;Pigs;Sheep;Goats;Equidae;Poultry;Rabbits;Inhabited hives and traditional cork hives;
;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
PT: Portugal;1415188;2418426;2929765;537241;96471;42631471;1673702;285230;
1: Continente;1172437;2332864;2917719;519018;90544;41397586;1654957;279928;
11: Norte;400258;179863;466402;139724;38034;4418914;581444;70724;
111: Alto Minho;39720;10863;56936;19093;3361;701001;81684;6690;
1111601: Arcos de Valdevez;8236;958;8600;6525;1267;45398;9088;447;
111160101: Aboim das Choças;62;30;39;- -;1;779;80;3;
111160102: Aguiã;107;9;151;82;7;866;50;1;
111160104: Ázere;69;29;16;3;4;710;40;1;
111160105: Cabana Maior;234;6;686;414;59;660;151;21;
111160106: Cabreiro;745;49;487;601;270;1684;103;210;
111160108: Cendufe;70;27;26;54;2;1069;176;6;
111160109: Couto;71;40;118;3;2;1303;261;- -;
111160113: Gavieira;1199;5;49;834;120;713;40;3;
111160115: Gondoriz;438;26;1033;945;40;2285;240;15;
111160142: Jolda (São Paio);71;19;35;8;- -;922;177;4;
111160121: Miranda;164;23;436;15;9;787;241;- -;
111160122: Monte Redondo;79;10;82;12;13;856;139;- -;
111160123: Oliveira;68;4;67;9;3;685;2295;- -;
111160124: Paçô;127;12;81;57;4;868;107;19;
111160125: Padroso;153;16;205;18;- -;672;94;6;
111160128: Prozelo;204;19;92;82;10;1185;97;- -;
111160131: Rio de Moinhos;111;17;169;10;25;1084;106;- -;
111160130: Rio Frio;244;33;683;225;138;1800;321;1;
111160133: Sabadim;121;10;192;42;1;1096;169;7;
111160144: Senharei;172;34;405;201;6;773;75;1;
111160145: Sistelo;696;10;234;43;130;1089;95;- -;
111160146: Soajo;920;99;696;1402;241;2519;601;106;
111160152: União das freguesias de Alvora e Loureda;198;25;146;87;7;1187;97;2;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;42;14;55;9;8;562;80;- -;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;83;27;133;37;12;1209;195;- -;
111160155: União das freguesias de Eiras e Mei;133;17;166;13;1;1022;212;10;
111160156: União das freguesias de Grade e Carralcova;300;27;493;114;28;1246;118;- -;
111160157: União das freguesias de Guilhadeses e Santar;120;14;47;60;7;1687;357;- -;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;161;72;42;18;35;1433;188;17;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);90;26;91;48;4;975;148;1;
111160160: União das freguesias de Portela e Extremo;185;70;394;52;23;1274;236;5;
111160161: União das freguesias de São Jorge e Ermelo;103;19;390;871;7;2103;273;- -;
111160162: União das freguesias de Souto e Tabaçô;81;8;74;9;4;1382;410;- -;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);202;36;37;- -;7;2819;622;6;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;135;45;311;21;2;2542;320;- -;
111160149: Vale;278;31;239;126;37;1552;174;2;
1111602: Caminha;1352;300;1910;271;175;95517;8984;1090;
111160201: Âncora;74;14;7;6;5;656;165;3;
111160205: Argela;98;14;80;25;- -;682;57;47;
111160209: Dem;130;21;253;16;17;1570;223;144;
111160211: Lanhelas;7;6;82;17;- -;383;105;5;
111160214: Riba de Âncora;230;40;96;47;28;2594;6868;27;
111160215: Seixas;14;2;13;- -;1;148;16;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);141;71;983;32;55;1915;318;522;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;68;4;25;2;- -;1541;26;23;
111160223: União das freguesias de Gondar e Orbacém;179;51;85;29;4;1463;175;62;
111160224: União das freguesias de Moledo e Cristelo;38;8;12;7;3;495;140;5;
111160225: União das freguesias de Venade e Azevedo;131;39;172;34;55;2000;293;14;
111160217: Vila Praia de Âncora;59;12;24;14;1;704;136;6;
111160218: Vilar de Mouros;109;15;70;31;2;80950;371;231;
111160220: Vile;74;3;8;11;4;416;91;1;
1111603: Melgaço;1740;997;6894;2181;454;21072;3886;1238;
111160301: Alvaredo;59;52;218;51;4;2621;210;4;
111160304: Cousso;44;58;556;1;14;1234;113;7;
111160305: Cristoval;33;66;141;46;3;953;187;76;
111160307: Fiães;111;362;381;238;4;1244;146;44;
111160308: Gave;131;39;132;60;20;684;188;210;
111160311: Paderne;119;44;555;202;23;2690;432;33;
111160313: Penso;16;1;367;39;2;1324;119;58;
111160317: São Paio;135;15;167;99;3;1652;351;5;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;727;49;1897;167;349;2166;504;271;
111160320: União das freguesias de Chaviães e Paços;34;194;308;64;2;1441;326;42;
111160321: União das freguesias de Parada do Monte e Cubalhão;273;113;1320;932;24;2091;493;446;
111160322: União das freguesias de Prado e Remoães;4;1;302;78;3;1161;375;7;
111160323: União das freguesias de Vila e Roussas;54;3;550;204;3;1811;442;35;
1111604: Monção;3526;1241;14418;1082;300;60295;8286;566;
111160401: Abedim;102;24;562;1;- -;921;227;5;
111160404: Barbeita;102;140;656;83;5;2790;434;21;
111160405: Barroças e Taias;44;21;364;6;- -;807;128;25;
111160406: Bela;38;22;558;7;2;1094;120;13;
111160407: Cambeses;32;11;347;- -;2;864;161;5;
111160410: Lara;20;14;464;2;2;9838;186;1;
111160411: Longos Vales;150;13;1074;23;3;2606;531;31;
111160415: Merufe;761;158;1465;160;55;4874;799;137;
111160418: Moreira;78;31;681;38;- -;2129;426;14;
111160420: Pias;159;154;911;79;4;3674;560;6;
111160421: Pinheiros;59;16;217;2;- -;720;215;23;
111160422: Podame;73;- -;248;2;- -;1122;110;43;
111160423: Portela;44;28;285;5;- -;778;280;22;
111160424: Riba de Mouro;258;21;622;171;42;1760;295;5;
111160427: Segude;84;11;485;10;2;1219;240;20;
111160428: Tangil;354;139;360;143;68;3560;343;- -;
111160431: Trute;98;70;244;37;5;1047;68;18;
111160434: União das freguesias de Anhões e Luzio;297;69;737;125;44;1499;214;35;
111160435: União das freguesias de Ceivães e Badim;452;26;850;9;4;1181;222;24;
111160436: União das freguesias de Mazedo e Cortes;29;62;707;70;5;2750;225;11;
111160437: União das freguesias de Messegães, Valadares e Sá;74;102;841;13;9;10588;312;21;
111160438: União das freguesias de Monção e Troviscoso;13;25;618;15;1;1435;1661;5;
111160439: União das freguesias de Sago, Lordelo e Parada;200;74;771;74;47;2340;430;67;
111160440: União das freguesias de Troporiz e Lapela;5;10;351;7;- -;699;99;14;
1111605: Paredes de Coura;2458;667;8005;815;145;18527;4096;257;
111160501: Agualonga;82;41;225;5;3;825;101;1;
111160503: Castanheira;187;36;522;18;11;1424;349;1;
111160505: Coura;70;37;433;11;3;1460;367;20;
111160507: Cunha;212;61;328;5;9;1295;362;25;
111160510: Infesta;82;27;382;17;5;999;266;24;
111160513: Mozelos;77;34;281;41;3;852;119;- -;
111160514: Padornelo;99;40;517;39;2;693;210;3;
111160515: Parada;127;27;172;16;5;868;170;- -;
111160519: Romarigães;65;21;317;6;3;744;204;18;
111160520: Rubiães;174;34;483;3;6;1470;163;24;
